,symbol,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,CPrice,change
272,LIDFA.IS,0.006152235327781769,0.03381037444481703,0.027658139117035258,18.878709272933392,0.8767420021342475,47.73176483861242,67.08174056203478,167580141.0,58.01941815671555,-235108535.56788152,18.42706542582423,106.21470744224287,13.768120136012616,0.00978730480009293,0.13696587899542198,3.1106186945588306,3.126666704813639,3.14,1.6181229773462924
273,LKMNH.IS,-0.040676158432608876,-0.06715083317391612,-0.02647467474130725,11.615828840056377,-0.019874951476925137,68.1495938104449,18.98513117002604,66931805.0,33.66268313175321,69197255.51291482,36.84608994436694,-207.2354617661722,-6.114510258280878,0.0662236445583467,0.630045224715467,17.189279676209114,16.81333287556966,16.89,-0.5300353356890497
274,LRSHO.IS,0.001861954110330446,0.009052281698550553,0.007190327588220107,15.792494191734315,0.8177456758802965,26.31578947368421,55.82688732474374,-141344965.0,58.556118606801704,-1027918129.3301778,17.135444200350328,83.98949542418183,10.714286094417377,-0.1414197048131837,0.1181018608237583,2.4605476962625374,2.4700000286102295,2.48,1.6393442622950838
275,LUKSK.IS,-0.11425152372021569,-0.25174082933939934,-0.13748930561918365,9.059223223858822,0.26285727036510337,16.05442176870748,43.97100711898877,2892438.0,44.915379956149316,-10542031.34532789,12.221688354273187,-95.1949903355675,0.24419651345060367,-0.11726375489257702,4.125566622402497,81.97687591645587,81.96666717529297,82.1,-0.8454106280193274
276,MAALT.IS,2.0463886736798678,1.151673159430839,-0.8947155142490287,7.508295430642471,0.3669796935875881,6.906077348066299,55.2295721433842,687815.0,44.2259310063465,-2429686.3052619714,20.20995208443196,-60.3227601558151,0.1360544217687075,-0.32421416734663955,28.4676957775324,732.8772819472617,734.3333333333334,736.0,1.237964236588729
277,MACKO.IS,-0.2938661965753679,0.1793921620227381,0.473258358598106,44.8178926155856,0.6777642481470151,475.5921052631573,70.39149338543834,34981264.0,60.74926920298512,8201107.505038283,32.11924632661568,56.60518969493927,11.530532189904283,0.2825631328474936,2.0788211955827247,35.64615157361447,35.37999979654948,35.16,-2.0612813370473604
278,MAGEN.IS,-0.17402452691716547,-0.3441127254780513,-0.1700881985608858,16.40723645395043,0.19750902260729844,255.2325581395348,40.250386424944594,221445348.0,44.40707610307065,-189811509.6776219,17.04791446881717,-112.9435129583156,-8.225697042889996,-0.18561709357349362,1.3470640677094776,27.514077084059643,26.920000076293945,27.0,0.3717472118959231
279,MAKIM.IS,-0.007712914874210941,0.11762449312665618,0.12533740800086712,7.925409722977767,0.39046124033928026,7.015706806282712,39.935821450321576,9922702.0,43.77012737517254,-25467698.549502637,18.95552253198584,-37.359304754339355,2.7355552262625547,-0.013335286581761936,0.7837243071923115,17.06610557177004,16.920000076293945,16.9,-1.4577259475218707
280,MAKTK.IS,-0.10783582823042245,-0.2678153518375943,-0.15997952360717185,31.446598461071744,0.5427140035036417,272.88888888888886,61.8118975586805,222774114.0,57.2440538488835,-150865969.49392265,38.60347622371729,-26.396439593441706,-7.613809503776445,0.00456760118993663,0.9861530641120514,11.336562026103177,11.293333689371744,11.77,10.000000000000009
281,MANAS.IS,-0.21241378028722913,-0.5239148332868448,-0.3115010529996157,60.15308211530726,0.013153629757605924,3.8131553860819865,21.755806206115825,58090221.0,29.398657261308184,15378350.301130537,25.846618663229037,-177.97942047580378,-31.506848122006215,-0.38258529649198436,0.7988001625143383,8.00005062743568,7.386666615804036,7.5,3.4482758620689724
282,MARBL.IS,-0.01602577045907351,-0.04820959210604381,-0.0321838216469703,13.300087194100552,0.18815082104990188,14.302461899179375,52.7635432671197,-15784428.0,42.020402748013375,-85646777.57458177,9.468330177044106,-98.50640717143669,-3.2758629477973495,-0.029970164163626502,0.4511743044578122,11.278063046762956,11.233333587646484,11.22,-0.08904719501335867
